title,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
313,4.105128254,0.984645043,5.412776479,7.481195449,7.898955862,2.558547738,2.467903834,3.7647148560000003,1.375601941,2.628442986,4.986608898,2.477494693,0.7586774119999999,1.74741091,0.81246765,0.674190444,0.185644519,1.968457212,1.084951388,0.530752716,3.223851602,0.453005153,3.305065779,0.387989799,0.286151431,1.276228957,1.158339965,36.84489168
4 My Town Play Ball,3.6379351300000002,0.908890244,3.832747582,5.249049146,6.725243552,1.704914484,2.607702497,3.935188063,1.023739237,1.952097434,2.990166775,1.8623204389999999,0.624186225,1.61246241,0.639834676,0.39044144999999997,0.151418742,1.451526399,1.007353977,0.424499857,1.976113566,0.362549505,2.774065396,0.293104504,0.23953829799999998,0.96927179,1.378917624,41.356645286
45th,3.578951131,0.892111829,4.08913853,5.401414881,5.2427665039999995,1.352734738,3.333294682,6.109705761,0.798497133,2.178422502,2.610085625,2.167628801,0.744534042,1.357938826,0.892165335,0.816264077,0.16611662800000002,1.165529295,1.251235974,0.484286329,1.540545947,0.293271548,2.464984151,0.253315581,0.568483812,1.896923412,1.351905362,36.399318922
5 Star Remix,3.711769735,0.91867582,5.962596855,6.851193386,5.883942152,1.788912476,1.161548006,1.269030442,1.069325308,2.133454438,3.488414236,2.443414092,0.669019037,1.710078771,0.721534161,0.347694749,0.159518423,1.781495566,1.226348942,0.45498112,2.067507556,0.361718046,2.521702045,0.29334467,0.297568811,1.235723275,0.954666557,34.45352267
50 Barz,2.456255326,0.713662451,4.857889274,5.936754921,3.866610129,1.286490053,0.865498819,1.0532996810000002,0.68330225,2.15765882,2.558407934,2.554732273,0.755418525,0.930891482,0.885831583,0.72848682,0.168292035,0.967153805,0.544175559,0.496506444,1.396410247,0.256538985,1.778241679,0.218717259,0.360110468,1.299891734,0.935847773,20.45428947
50 Thousand Deep,0.80152211,0.729096316,2.792123717,5.094794103,3.745235733,1.205844001,1.724924108,2.17726249,0.58296263,2.628432369,3.810144571,1.646447409,0.671880211,0.621063812,0.914757334,0.139444216,0.161215165,0.492989041,0.139331867,0.503801108,1.102187429,0.167350972,2.507755534,0.161110661,0.373112164,1.892339504,0.899026325,30.23731711
5th Dimension,2.05120002,1.916770144,1.079769091,2.747017711,4.879536065,1.493017093,1.667386132,2.597119357,0.968397466,1.832301008,2.481197915,0.793360849,0.447099298,1.657048522,0.628333714,0.24643769199999999,0.1325324,1.540551982,0.5331241609999999,0.37247774,1.8995578770000001,0.290748181,2.523703585,0.258830101,0.314797148,1.451215132,1.276209715,31.44078917
6 Minutes of Death,4.2541119929999995,2.728791454,9.485765586,12.801197507,10.594785571,3.261769485,3.318359503,3.387339917,1.744476296,4.899949877,8.346546938,4.417690203,1.432735415,2.311259444,1.674934787,1.5334309,0.338156768,2.416844208,0.913425411,0.997143782,3.590875302,0.568684884,5.10270787,0.498285801,0.747256317,3.120050144,1.936651777,63.019282407
8 Iz Enuff,3.991908479,2.335355701,6.587455369,9.695539014,7.507063488,2.769238895,2.05247782,2.54028803,1.362338913,4.752836394,5.158104315,3.751929665,1.359408866,1.722815769,1.923522483,0.869425739,0.33565013,1.891308272,1.1295971009999999,0.99027203,2.769700014,0.45534074,3.946581641,0.412957749,0.987762676,4.187488324,1.5560113580000001,50.592287572
8 Mile,5.408275079,2.077024754,4.991210563,9.112395138,15.528889738,5.63656683,3.110031724,3.767571933,2.85269045,6.805163825,7.315453023,3.631947619,1.6961045049999999,2.630644547,2.640267674,1.554539516,0.496961121,2.913253614,1.566537725,1.399106166,7.347535397,0.826032417,6.978888115,0.818181403,2.137241365,6.498764513,2.106056524,51.969514698
90210,3.329441396,0.981492842,1.893023546,3.596760074,6.9781035529999995,1.592186943,1.0963238,1.305481671,0.969796755,1.472844231,2.59070873,0.930968565,0.381248838,1.717273982,0.418650761,0.267816146,0.098031722,1.637271743,0.66659218,0.287644646,1.808940999,0.331654149,2.644810516,0.254421787,0.139108193,0.759375107,0.911731605,46.75307558
98 Freestyle,3.559199176,1.096200528,11.482257011,12.353624463,6.187826366,2.254334459,2.121013376,2.788991454,1.082855962,4.051384639,5.88236354,5.126700986,1.319619366,1.251352968,1.495318153,0.647043554,0.304608555,1.257248837,0.961186914,0.875037099,2.367989703,0.384580156,3.095261183,0.34485572,0.640381923,2.4732908780000002,1.219918105,34.06618174
99 Problems,1.80120259,0.802440402,7.199148025,8.391937498999999,4.512637989,1.478503848,3.064211892,4.40238447,0.702046654,3.290896182,4.988030051,3.51319172,1.046554882,1.00674448,1.350112631,0.428162724,0.243517906,0.9717595050000001,0.555042723,0.691415824,1.375704522,0.257700458,2.430753457,0.239271668,1.25154628,3.068346033,1.108882003,29.92578674
9AM in Dallas,3.671414987,1.131200233,4.150391985,5.477937811,5.612447919,1.78452711,1.663091147,2.340691369,1.000876861,2.625878633,3.140215344,2.299943565,0.7967244370000001,1.464879944,1.027896937,1.467133951,0.200675101,1.717179025,1.5680298650000002,0.576272382,2.217182851,0.348359923,2.53009229,0.314133965,0.568006317,1.982257975,1.125305126,26.565493176
A Life in the Day of Benjamin André Incomplete,3.884743961,3.369958178,2.705627851,5.633966159,10.110445859,2.452257121,3.630646827,4.89743525,1.463432476,2.666341584,4.349016534,1.594690781,0.746123172,2.200301631,0.828763961,0.454859629,0.191854838,2.238628028,1.365238593,0.553603171,3.018610883,0.459288517,4.609570996,0.395823008,0.34451788099999997,1.533436476,1.9252791360000001,64.003854959
A Milli,2.478999745,1.282534825,12.557318463,13.137597895,6.898939307,1.979651325,2.679639932,3.680061201,0.952631338,4.133565317,6.82613425,5.430555944,1.394305981,1.240657445,1.573690886,0.414910036,0.298968549,1.089995668,0.53229177,0.881893979,1.888668539,0.350091007,3.223556921,0.30450808,0.749769021,2.731240513,1.357688927,41.19045952
A Milli Mixtape Version,3.362582467,3.815207671,5.367135541,7.710652809,7.341768324,2.037724496,2.843917365,3.886956685,1.05942237,3.143861739,5.136643955,2.788266984,0.921585511,1.581115187,1.084664757,0.594538152,0.20972147,1.948573363,0.834565522,0.623135243,2.170294805,0.371822306,3.266506307,0.318126693,0.505397827,2.042129638,1.263406557,46.578584585
A Million and One Questions Remix,1.887192892,1.534173869,3.87159655,5.468512651,4.838481999,1.273087311,4.647705205,7.440258653,0.793761193,2.080193809,3.012288774,1.956347749,0.734326048,1.316244945,0.769801395,0.42104849,0.16407792799999998,1.095107303,0.545545656,0.467895224,1.37284869,0.267739001,2.657025165,0.240279731,0.32967476,1.320541241,1.758399357,40.59141068
